https://secure.img1-fg.wfcdn.com/im/81275377/resize-h800-w800%5Ecompr-r85/4687/46876830/Augustus+Etagere+Bookcase.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/81275377/resize-h800-w800%5Ecompr-r85/4687/46876830/Augustus+Etagere+Bookcase.jpg', 'path': 'full/0498a4ab8fc119a36719b0cee0efc56b068f8a57.jpg', 'checksum': '525aecd6544519139f1db3c760d6f397'}]",DUST5547
image_urls,images,sku
https://secure.img1-ag.wfcdn.com/im/46521494/resize-h800-w800%5Ecompr-r85/7015/70156453/Gardi+Corner+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/46521494/resize-h800-w800%5Ecompr-r85/7015/70156453/Gardi+Corner+Bookcase.jpg', 'path': 'full/0e79c0748b05138d5259d0f5c00fc0f5ebc879c5.jpg', 'checksum': 'feffc1cd987ff91f98eaa62d2b2cd582'}]",WBRD1210
https://secure.img1-ag.wfcdn.com/im/36118418/resize-h800-w800%5Ecompr-r85/6114/61147556/Coral+Bay+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/36118418/resize-h800-w800%5Ecompr-r85/6114/61147556/Coral+Bay+Bookcase.jpg', 'path': 'full/dbacc9935ace53d13dc0478eddb0bb6ba108ef75.jpg', 'checksum': '4e09ad8bc9ebd393c9bbdcc3c494ab39'}]",HMCM1355
https://secure.img1-ag.wfcdn.com/im/94865542/resize-h800-w800%5Ecompr-r85/3030/30308982/Whalley+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/94865542/resize-h800-w800%5Ecompr-r85/3030/30308982/Whalley+Bookcase.jpg', 'path': 'full/316b98fdf8a693cc1c04248c18b8f172fffc2d9b.jpg', 'checksum': '3f4686442e425bc316606d820eac71ee'}]",GHEN6299
https://secure.img1-ag.wfcdn.com/im/63833961/resize-h800-w800%5Ecompr-r85/6981/69813043/Ladder+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/63833961/resize-h800-w800%5Ecompr-r85/6981/69813043/Ladder+Bookcase.jpg', 'path': 'full/d18b1bb42bae7a638122aa3cbb584a813433e310.jpg', 'checksum': 'ae242d79db497a05de381a9ad5173b9e'}]",HOKU7888
https://secure.img1-ag.wfcdn.com/im/49196090/resize-h800-w800%5Ecompr-r85/5178/51787197/Gerardi+5+Tier+Cube+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/49196090/resize-h800-w800%5Ecompr-r85/5178/51787197/Gerardi+5+Tier+Cube+Bookcase.jpg', 'path': 'full/d53efe2d13be705674316ef1cfb3ad9d5f86f659.jpg', 'checksum': '1e43e518b81ccddeaeea587838f15d5d'}]",LSSS1029
https://secure.img1-ag.wfcdn.com/im/29152584/resize-h800-w800%5Ecompr-r85/3696/36962757/Gouldin+Corner+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/29152584/resize-h800-w800%5Ecompr-r85/3696/36962757/Gouldin+Corner+Bookcase.jpg', 'path': 'full/0b569ae4112697f1ac1b1e27f8eb0c5b93d718ce.jpg', 'checksum': 'dfdc5ba5bd5518335508300a47cef26a'}]",AAPO1029
https://secure.img1-ag.wfcdn.com/im/42141121/resize-h800-w800%5Ecompr-r85/6340/63403390/Prater+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/42141121/resize-h800-w800%5Ecompr-r85/6340/63403390/Prater+Bookcase.jpg', 'path': 'full/59d6ae7a72552189852c64c2e4d0c9f1452551b0.jpg', 'checksum': '2992fea75252da776b48f6c01a45e8e3'}]",WLFG2000
https://secure.img1-ag.wfcdn.com/im/74286319/resize-h800-w800%5Ecompr-r85/1033/103379999/Chowk+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/74286319/resize-h800-w800%5Ecompr-r85/1033/103379999/Chowk+Bookcase.jpg', 'path': 'full/f05da8f4633572442203aee3f70d55047f531899.jpg', 'checksum': 'e7ea10fb62333169fb4c67460c57a6ca'}]",AISN1037
https://secure.img1-ag.wfcdn.com/im/30010928/resize-h800-w800%5Ecompr-r85/8472/84720899/Morin+Ladder+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/30010928/resize-h800-w800%5Ecompr-r85/8472/84720899/Morin+Ladder+Bookcase.jpg', 'path': 'full/a68cb9365e28f6fe78083f5b06dd8dc32425e8b4.jpg', 'checksum': '189d75dc3b03397129ce64343bff75ec'}]",BBHS1083
https://secure.img1-ag.wfcdn.com/im/88748341/resize-h800-w800%5Ecompr-r85/3535/35355665/176cm+Leaning+Bookcase.jpg,"[{'url': 'https://secure.img1-ag.wfcdn.com/im/88748341/resize-h800-w800%5Ecompr-r85/3535/35355665/176cm+Leaning+Bookcase.jpg', 'path': 'full/13ba4488eadaad9347139465213fb34d50375abe.jpg', 'checksum': 'c54aa7b0c66d181a63bc226df38efd95'}]",RELX1165
